,User,Task,Stiffness,Scale,2AFC,Confidence,Results
0,User15,Squeeze,45.0,Large,1.0,2,4.0
1,User15,Compress,45.0,Large,1.0,3,4.0
2,User15,Squeeze,45.0,Small,0.0,4,-4.0
3,User15,Compress,45.0,Small,0.0,3,-4.0
4,User15,Squeeze,47.0,Large,1.0,4,4.0
5,User15,Compress,47.0,Large,1.0,2,4.0
6,User15,Squeeze,47.0,Small,0.0,3,-4.0
7,User15,Compress,47.0,Small,0.0,4,-4.0
8,User15,Squeeze,49.0,Large,1.0,4,4.0
9,User15,Compress,49.0,Large,0.0,4,-4.0
10,User15,Squeeze,49.0,Small,0.0,4,-4.0
11,User15,Compress,49.0,Small,1.0,4,4.0
12,User15,Squeeze,51.0,Large,0.0,3,-4.0
13,User15,Compress,51.0,Large,1.0,4,4.0
14,User15,Squeeze,51.0,Small,1.0,2,4.0
15,User15,Compress,51.0,Small,0.0,4,-4.0
16,User15,Squeeze,53.0,Large,1.0,2,4.0
17,User15,Compress,53.0,Large,1.0,3,4.0
18,User15,Squeeze,53.0,Small,0.0,4,-4.0
19,User15,Compress,53.0,Small,0.0,4,-4.0
20,User15,Squeeze,55.0,Large,0.0,4,-4.0
21,User15,Compress,55.0,Large,0.0,4,-4.0
22,User15,Squeeze,55.0,Small,0.0,4,-4.0
23,User15,Compress,55.0,Small,0.0,3,-4.0
24,User15,Squeeze,57.0,Large,1.0,4,4.0
25,User15,Compress,57.0,Large,1.0,4,4.0
26,User15,Squeeze,57.0,Small,0.0,4,-4.0
27,User15,Compress,57.0,Small,0.0,4,-4.0
28,User15,Squeeze,59.0,Large,0.0,4,-4.0
29,User15,Compress,59.0,Large,1.0,3,4.0
30,User15,Squeeze,59.0,Small,1.0,3,4.0
31,User15,Compress,59.0,Small,1.0,3,4.0
32,User15,Squeeze,61.0,Large,1.0,4,4.0
33,User15,Compress,61.0,Large,1.0,5,4.0
34,User15,Squeeze,61.0,Small,0.0,4,-4.0
35,User15,Compress,61.0,Small,0.0,4,-4.0
36,User15,Squeeze,63.0,Large,0.0,4,-4.0
37,User15,Compress,63.0,Large,1.0,4,4.0
38,User15,Squeeze,63.0,Small,0.0,4,-4.0
39,User15,Compress,63.0,Small,0.0,4,-4.0
40,User15,Squeeze,65.0,Large,0.0,3,-4.0
41,User15,Compress,65.0,Large,0.0,5,-4.0
42,User15,Squeeze,65.0,Small,0.0,3,-4.0
43,User15,Compress,65.0,Small,0.0,4,-4.0
44,User15,Squeeze,10.0,Large,1.0,4,4.0
45,User15,Compress,10.0,Large,0.0,3,-4.0
46,User15,Squeeze,10.0,Small,1.0,3,4.0
47,User15,Compress,10.0,Small,1.0,3,4.0
48,User15,Squeeze,12.0,Large,1.0,4,4.0
49,User15,Compress,12.0,Large,1.0,5,4.0
50,User15,Squeeze,12.0,Small,1.0,4,4.0
