,Conditions,Task,User,Scale,Results
0,45.0,Squeeze,User15,Large,4.0
1,45.0,Compress,User15,Large,4.0
2,47.0,Squeeze,User15,Large,4.0
3,47.0,Compress,User15,Large,4.0
4,49.0,Squeeze,User15,Large,4.0
5,49.0,Compress,User15,Large,-4.0
6,51.0,Squeeze,User15,Large,-4.0
7,51.0,Compress,User15,Large,4.0
8,53.0,Squeeze,User15,Large,4.0
9,53.0,Compress,User15,Large,4.0
10,55.0,Squeeze,User15,Large,-4.0
11,55.0,Compress,User15,Large,-4.0
12,57.0,Squeeze,User15,Large,4.0
13,57.0,Compress,User15,Large,4.0
14,59.0,Squeeze,User15,Large,-4.0
15,59.0,Compress,User15,Large,4.0
16,61.0,Squeeze,User15,Large,4.0
17,61.0,Compress,User15,Large,4.0
18,63.0,Squeeze,User15,Large,-4.0
19,63.0,Compress,User15,Large,4.0
20,65.0,Squeeze,User15,Large,-4.0
21,65.0,Compress,User15,Large,-4.0
22,10.0,Squeeze,User15,Large,4.0
23,10.0,Compress,User15,Large,-4.0
24,12.0,Squeeze,User15,Large,4.0
25,12.0,Compress,User15,Large,4.0
26,14.0,Squeeze,User15,Large,-4.0
27,14.0,Compress,User15,Large,4.0
28,16.0,Squeeze,User15,Large,4.0
29,16.0,Compress,User15,Large,-4.0
30,18.0,Squeeze,User15,Large,4.0
31,18.0,Compress,User15,Large,4.0
32,20.0,Squeeze,User15,Large,4.0
33,20.0,Compress,User15,Large,4.0
34,22.0,Squeeze,User15,Large,-4.0
35,22.0,Compress,User15,Large,-4.0
36,24.0,Squeeze,User15,Large,-4.0
37,24.0,Compress,User15,Large,4.0
38,1.0,Squeeze,User15,Large,-4.0
39,1.0,Compress,User15,Large,4.0
40,6.0,Squeeze,User15,Large,4.0
41,6.0,Compress,User15,Large,4.0
42,70.0,Squeeze,User15,Large,-4.0
43,70.0,Compress,User15,Large,-4.0
44,75.0,Squeeze,User15,Large,-4.0
45,75.0,Compress,User15,Large,4.0
46,25.0,Squeeze,User15,Large,4.0
47,25.0,Compress,User15,Large,-4.0
48,30.0,Squeeze,User15,Large,4.0
49,30.0,Compress,User15,Large,-4.0
50,35.0,Squeeze,User15,Large,4.0
51,35.0,Compress,User15,Large,4.0
52,40.0,Squeeze,User15,Large,-4.0
53,40.0,Compress,User15,Large,-4.0
54,45.0,Squeeze,User14,Large,4.0
55,45.0,Compress,User14,Large,4.0
56,47.0,Squeeze,User14,Large,-4.0
57,47.0,Compress,User14,Large,4.0
58,49.0,Squeeze,User14,Large,4.0
59,49.0,Compress,User14,Large,-4.0
60,51.0,Squeeze,User14,Large,-4.0
61,51.0,Compress,User14,Large,4.0
62,53.0,Squeeze,User14,Large,-4.0
63,53.0,Compress,User14,Large,4.0
64,55.0,Squeeze,User14,Large,4.0
65,55.0,Compress,User14,Large,4.0
66,57.0,Squeeze,User14,Large,4.0
67,57.0,Compress,User14,Large,4.0
68,59.0,Squeeze,User14,Large,4.0
69,59.0,Compress,User14,Large,-4.0
70,61.0,Squeeze,User14,Large,4.0
71,61.0,Compress,User14,Large,4.0
72,63.0,Squeeze,User14,Large,4.0
73,63.0,Compress,User14,Large,4.0
74,65.0,Squeeze,User14,Large,4.0
75,65.0,Compress,User14,Large,4.0
76,10.0,Squeeze,User14,Large,-4.0
77,10.0,Compress,User14,Large,4.0
78,12.0,Squeeze,User14,Large,-4.0
79,12.0,Compress,User14,Large,-4.0
80,14.0,Squeeze,User14,Large,4.0
81,14.0,Compress,User14,Large,-4.0
82,16.0,Squeeze,User14,Large,-4.0
83,16.0,Compress,User14,Large,4.0
84,18.0,Squeeze,User14,Large,4.0
85,18.0,Compress,User14,Large,-4.0
86,20.0,Squeeze,User14,Large,4.0
87,20.0,Compress,User14,Large,4.0
88,22.0,Squeeze,User14,Large,-4.0
89,22.0,Compress,User14,Large,4.0
90,24.0,Squeeze,User14,Large,-4.0
91,24.0,Compress,User14,Large,4.0
92,1.0,Squeeze,User14,Large,-4.0
93,1.0,Compress,User14,Large,-4.0
94,6.0,Squeeze,User14,Large,4.0
95,6.0,Compress,User14,Large,-4.0
96,70.0,Squeeze,User14,Large,-4.0
97,70.0,Compress,User14,Large,4.0
98,75.0,Squeeze,User14,Large,-4.0
99,75.0,Compress,User14,Large,-4.0
100,25.0,Squeeze,User14,Large,4.0
101,25.0,Compress,User14,Large,-4.0
102,30.0,Squeeze,User14,Large,4.0
103,30.0,Compress,User14,Large,4.0
104,35.0,Squeeze,User14,Large,4.0
105,35.0,Compress,User14,Large,4.0
106,40.0,Squeeze,User14,Large,-4.0
107,40.0,Compress,User14,Large,4.0
108,45.0,Squeeze,User13,Large,-4.0
109,45.0,Compress,User13,Large,-4.0
110,47.0,Squeeze,User13,Large,-4.0
111,47.0,Compress,User13,Large,4.0
112,49.0,Squeeze,User13,Large,4.0
113,49.0,Compress,User13,Large,-4.0
114,51.0,Squeeze,User13,Large,4.0
115,51.0,Compress,User13,Large,-4.0
116,53.0,Squeeze,User13,Large,4.0
117,53.0,Compress,User13,Large,-4.0
118,55.0,Squeeze,User13,Large,-4.0
119,55.0,Compress,User13,Large,4.0
120,57.0,Squeeze,User13,Large,4.0
121,57.0,Compress,User13,Large,-4.0
122,59.0,Squeeze,User13,Large,4.0
123,59.0,Compress,User13,Large,4.0
124,61.0,Squeeze,User13,Large,4.0
125,61.0,Compress,User13,Large,-4.0
126,63.0,Squeeze,User13,Large,4.0
127,63.0,Compress,User13,Large,4.0
128,65.0,Squeeze,User13,Large,4.0
129,65.0,Compress,User13,Large,4.0
130,10.0,Squeeze,User13,Large,-4.0
131,10.0,Compress,User13,Large,-4.0
132,12.0,Squeeze,User13,Large,-4.0
133,12.0,Compress,User13,Large,-4.0
134,14.0,Squeeze,User13,Large,-4.0
135,14.0,Compress,User13,Large,-4.0
136,16.0,Squeeze,User13,Large,-4.0
137,16.0,Compress,User13,Large,-4.0
138,18.0,Squeeze,User13,Large,-4.0
139,18.0,Compress,User13,Large,-4.0
140,20.0,Squeeze,User13,Large,-4.0
141,20.0,Compress,User13,Large,-4.0
142,22.0,Squeeze,User13,Large,-4.0
143,22.0,Compress,User13,Large,-4.0
144,24.0,Squeeze,User13,Large,-4.0
145,24.0,Compress,User13,Large,-4.0
146,1.0,Squeeze,User13,Large,-4.0
147,1.0,Compress,User13,Large,-4.0
148,6.0,Squeeze,User13,Large,-4.0
149,6.0,Compress,User13,Large,-4.0
150,70.0,Squeeze,User13,Large,4.0
151,70.0,Compress,User13,Large,-4.0
152,75.0,Squeeze,User13,Large,-4.0
153,75.0,Compress,User13,Large,4.0
154,25.0,Squeeze,User13,Large,-4.0
155,25.0,Compress,User13,Large,-4.0
156,30.0,Squeeze,User13,Large,-4.0
157,30.0,Compress,User13,Large,-4.0
158,35.0,Squeeze,User13,Large,-4.0
159,35.0,Compress,User13,Large,4.0
160,40.0,Squeeze,User13,Large,4.0
161,40.0,Compress,User13,Large,-4.0
162,45.0,Squeeze,User12,Large,-4.0
163,45.0,Compress,User12,Large,-4.0
164,47.0,Squeeze,User12,Large,-4.0
165,47.0,Compress,User12,Large,-4.0
166,49.0,Squeeze,User12,Large,4.0
167,49.0,Compress,User12,Large,4.0
168,51.0,Squeeze,User12,Large,-4.0
169,51.0,Compress,User12,Large,4.0
170,53.0,Squeeze,User12,Large,-4.0
171,53.0,Compress,User12,Large,-4.0
172,55.0,Squeeze,User12,Large,4.0
173,55.0,Compress,User12,Large,-4.0
174,57.0,Squeeze,User12,Large,-4.0
175,57.0,Compress,User12,Large,-4.0
176,59.0,Squeeze,User12,Large,-4.0
177,59.0,Compress,User12,Large,-4.0
178,61.0,Squeeze,User12,Large,4.0
179,61.0,Compress,User12,Large,-4.0
180,63.0,Squeeze,User12,Large,4.0
181,63.0,Compress,User12,Large,4.0
182,65.0,Squeeze,User12,Large,4.0
183,65.0,Compress,User12,Large,4.0
184,10.0,Squeeze,User12,Large,-4.0
185,10.0,Compress,User12,Large,-4.0
186,12.0,Squeeze,User12,Large,-4.0
187,12.0,Compress,User12,Large,-4.0
188,14.0,Squeeze,User12,Large,-4.0
189,14.0,Compress,User12,Large,-4.0
190,16.0,Squeeze,User12,Large,-4.0
191,16.0,Compress,User12,Large,-4.0
192,18.0,Squeeze,User12,Large,-4.0
193,18.0,Compress,User12,Large,-4.0
194,20.0,Squeeze,User12,Large,-4.0
195,20.0,Compress,User12,Large,-4.0
196,22.0,Squeeze,User12,Large,-4.0
197,22.0,Compress,User12,Large,-4.0
198,24.0,Squeeze,User12,Large,-4.0
199,24.0,Compress,User12,Large,-4.0
200,1.0,Squeeze,User12,Large,-4.0
201,1.0,Compress,User12,Large,-4.0
202,6.0,Squeeze,User12,Large,-4.0
203,6.0,Compress,User12,Large,-4.0
204,70.0,Squeeze,User12,Large,4.0
205,70.0,Compress,User12,Large,-4.0
206,75.0,Squeeze,User12,Large,4.0
207,75.0,Compress,User12,Large,4.0
208,25.0,Squeeze,User12,Large,-4.0
209,25.0,Compress,User12,Large,-4.0
210,30.0,Squeeze,User12,Large,-4.0
211,30.0,Compress,User12,Large,-4.0
212,35.0,Squeeze,User12,Large,-4.0
213,35.0,Compress,User12,Large,-4.0
